t_index	term	df
499	90069	1
500	903	1
501	91	3
502	911	5
503	918	1
504	92	3
505	925	1
506	927	2
507	92nd	1
508	93	8
509	930	2
510	93117	1
511	94	2
512	947	1
513	95	7
514	96	5
515	964	2
516	968	1
517	97	5
518	98	4
519	98133	1
520	9832	1
521	98481	1
522	9867	1
523	989	1
524	99	13
525	991	1
526	992	4
527	9th	3
528	_	338
529	__	1
530	___	64
531	____	1
532	_about	1
533	_archi	2
534	_both	1
535	_bui	1
536	_creat	1
537	_dorothi	1
538	_for	1
539	_form	1
540	_former	2
541	_how	1
542	_if	1
543	_joseph	1
544	_kemba	1
545	_leonard	2
546	_like	1
547	_linda	1
548	_met	1
549	_michael	2
550	_onli	1
551	_refuel	2
552	_said	1
553	_sent	1
554	_susan	3
555	_the	3
556	_virginia	1
557	_what	1
558	_whether	1
559	aan	1
560	aaron	2
561	aback	1
562	abahd	1
563	abandon	39
564	abat	1
565	abc	49
566	abcnew	3
567	abdallah	2
568	abdel	3
569	abdomin	2
570	abduct	2
571	abdul	16
572	abdullah	40
573	abdurahman	1
574	aberr	1
575	abhad	1
576	abhiyan	1
577	abhorr	2
578	abid	8
579	abidin	4
580	abidjan	36
581	abijan	1
582	abil	32
583	abl	105
584	ablaz	3
585	abnorm	1
586	aboard	93
587	abobo	3
588	abolish	4
589	abomin	1
590	abort	7
591	abound	4
592	about	1
593	abovo	1
594	abraham	10
595	abreast	1
596	abrego	1
597	abroad	52
598	abrog	2
599	abrupt	1
600	abruptli	4
601	abscam	1
602	absenc	6
603	absent	4
604	absente	7
605	absentia	3
606	absolut	43
607	absorb	10
608	abstain	1
609	abstent	1
610	absurd	2
611	abu	7
612	abund	2
613	abus	29
614	abuzaakouk	1
615	abyan	5
616	abyssinian	1
617	ac	27
618	academ	6
619	academi	4
620	academia	1
621	acced	1
622	acceler	4
623	accent	2
624	accentu	2
625	accept	124
626	access	41
627	accid	32
628	accident	3
629	accommod	11
630	accompani	33
631	accomplic	5
632	accomplish	10
633	accord	145
634	accordingli	1
635	accordion	1
636	account	125
637	accredit	1
638	accumul	2
639	accur	14
640	accuraci	1
641	accus	131
642	accustom	2
643	acerb	2
644	achiev	32
645	acid	2
646	acknowledg	55
647	acolyt	1
648	acosta	1
649	acquaint	1
650	acquiesc	1
651	acquir	5
652	acquisit	1
653	acquit	5
654	acquitt	3
655	acr	1
656	acrimoni	2
657	acrobat	5
658	acronym	1
659	act	135
660	action	95
661	activ	90
662	activist	19
663	actor	4
664	actress	2
665	actual	66
666	ad	117
667	adam	8
668	adapt	5
669	add	18
670	adden	1
671	addit	71
672	addition	4
673	address	64
674	adem	1
675	aden	169
676	adequ	7
677	adher	4
678	adiksa	1
679	adjac	4
680	adjam	2
681	adjoin	3
682	adjourn	3
683	adjust	7
684	adlai	1
685	adm	44
686	admen	1
687	administ	9
688	administr	115
689	admir	38
690	admiralti	1
691	admiringli	1
692	admiss	2
693	admit	40
694	ado	2
695	adob	1
696	adolesc	2
697	adopt	17
698	adorn	1
699	adoubi	1
700	adra	1
701	adrain	1
702	adrenalin	1
703	adriat	1
704	adrift	4
705	adult	10
706	advanc	66
707	advani	1
708	advantag	21
709	adventist	1
710	adventur	2
711	advers	2
712	adversari	2
713	advertis	12
714	advic	6
715	advis	84
716	advisor	10
717	advisori	2
718	advoc	13
719	advocaci	2
720	aegi	5
721	aerial	3
722	aeroflot	1
723	affabl	1
724	affair	48
725	affect	29
726	affection	1
727	affili	6
728	affirm	6
729	afflict	1
730	afford	7
731	affront	2
732	afghan	17
733	afghanistan	46
734	afi	2
735	afibia	1
736	afield	1
737	afir	2
738	afl	2
739	afloat	13
740	afoul	1
741	afraid	28
742	afredo	1
743	africa	65
744	african	49
745	aftehock	1
746	aftermath	14
747	afternoon	64
748	aftershock	43
749	afundament	1
750	ag	42
751	agarw	1
752	agassi	47
753	agbayani	1
754	agenc	117
755	agenda	14
756	agent	83
757	ager	8
758	agglomer	1
759	aggrav	12
760	aggress	24
761	agil	1
762	agit	1
763	ago	207
764	agon	6
765	agoni	3
766	agonizingli	1
767	agre	77
768	agreement	49
769	agricultur	15
770	agustin	1
771	ah	1
772	aha	1
773	ahead	53
774	ahemdabad	1
775	ahm	15
776	ahmad	1
777	ahmadabad	2
778	ahmar	1
779	ahmedabad	20
780	ahold	1
781	ahren	1
782	aid	158
783	aida	2
784	ail	5
785	ailment	1
786	aim	35
787	air	175
788	aircraft	27
789	airdrop	2
790	airfield	1
791	airforc	1
792	airlift	4
793	airlin	6
794	airlock	1
795	airman	1
796	airmen	11
797	airplan	7
798	airport	49
799	airstrik	3
800	airtim	2
801	airwai	3
802	airwav	1
803	aisl	3
804	aj	1
805	ajax	1
806	ajnar	3
807	ajw	1
808	akaka	2
809	akan	2
810	akin	3
811	akishio	1
812	akouedo	1
813	ala	5
814	alabama	5
815	alain	1
816	alami	1
817	alamoudi	1
818	alan	5
819	alarm	19
820	alasan	1
821	alaska	3
822	alaskan	1
823	alassan	27
824	albani	1
825	albania	1
826	albanian	18
827	albeit	4
828	albert	1
829	alberto	66
830	albright	47
831	album	1
832	alce	3
833	alcohol	5
834	alehandr	1
835	alejandro	14
836	aleksa	1
837	aleksandar	6
838	aler	1
839	alert	62
840	alessio	4
841	alex	10
842	alexa	2
843	alexand	9
844	alexandria	1
845	alexei	1
846	alexeyev	1
847	alexsand	1
848	alfonso	1
849	alfr	2
850	alfredo	1
851	algeria	3
852	algerian	5
853	ali	44
854	alia	2
855	alibi	1
856	alien	3
857	alight	1
858	align	5
859	alija	1
860	alik	9
861	alisan	2
862	alisha	1
863	aliv	84
864	allafrica	1
865	allah	1
866	allahabad	2
867	allahbad	1
868	allan	1
869	alleg	72
870	allegedli	23
871	allegi	1
872	allei	2
873	allen	22
874	allentown	1
875	alleywai	3
876	alli	86
877	allianc	10
878	alliz	1
879	allot	1
880	allow	133
881	allud	2
882	allus	5
883	alma	1
884	almagor	1
885	alongsid	39
886	alou	1
887	alpha	2
888	alphabet	3
889	alpin	1
890	alter	8
891	altern	20
892	altitud	1
893	altogeth	4
894	aluminum	2
895	alun	6
896	amad	3
897	amanda	17
898	amarillo	2
899	amartej	3
900	amaru	4
901	amass	4
902	amateur	2
903	amaz	10
904	amazingli	1
905	ambassador	47
906	ambersag	1
907	ambigu	1
908	ambit	8
909	ambiti	2
910	ambival	2
911	ambul	11
912	ambush	1
913	ameli	6
914	amend	2
915	amerasian	1
916	america	128
917	american	353
918	americorp	1
919	amh	1
920	ami	2
921	amiabl	2
922	amic	1
923	amid	51
924	amidship	2
925	amin	1
926	amit	1
927	amman	2
928	ammo	1
929	ammonium	1
930	ammunit	22
931	amnesia	2
932	amnesti	2
933	amount	8
934	amp	5
935	amphibi	3
936	ampl	2
937	ampli	1
938	amplifi	1
939	amput	12
940	ana	7
941	anacostia	1
942	analges	1
943	analog	1
944	analysi	9
945	analyst	38
946	analyz	5
947	anarch	2
948	anathema	1
949	anatoli	8
950	anca	4
951	ancestor	3
952	ancestr	25
953	ancestri	1
954	anchor	8
955	anchorag	2
956	anchorman	3
957	ancient	4
958	andean	6
959	anderson	4
960	andi	5
961	andjelkov	1
962	andoslavia	1
963	andr	48
964	andrea	14
965	andrei	2
966	andrew	15
967	andrik	1
968	anew	7
969	angel	13
970	anger	46
971	angl	12
972	anglican	1
973	angri	27
974	angrili	4
975	anguish	8
976	anim	2
977	animist	2
978	animos	11
979	anjai	1
980	anjana	1
981	anjar	6
982	ank	2
983	ankl	9
984	ann	5
985	anna	21
986	annabel	1
987	annacon	1
988	annan	13
989	anniversari	15
990	annoi	1
991	announc	164
992	annoy	1
993	annual	18
994	annul	11
995	anomali	1
996	anonym	63
997	answer	51
998	antagon	1
999	antasiaovich	1
1000	antenna	2
1001	anthem	6
1002	anthoni	27
1003	anthropologist	2
1004	anti	85
1005	antiballist	1
1006	antibiot	5
1007	anticip	17
1008	anticlimact	1
1009	antonia	6
1010	antonin	1
1011	antonio	26
1012	anwar	4
1013	anxieti	3
1014	anxiou	11
1015	anxious	2
1016	anybodi	14
1017	anymor	9
1018	anytim	4
1019	aon	1
1020	ap	1
1021	apart	69
1022	apec	4
1023	apex	1
1024	apolit	1
1025	apolog	18
1026	appal	1
1027	appallingli	1
