t_index	term	df
3358	detaine	2
3359	detect	14
3360	detector	1
3361	detent	10
3362	deter	15
3363	deterg	1
3364	deterior	11
3365	determin	104
3366	deterr	2
3367	detest	1
3368	deton	30
3369	detour	4
3370	detritu	1
3371	detroit	3
3372	deuc	12
3373	deutch	8
3374	deutsch	1
3375	devast	58
3376	devastatingli	1
3377	develop	97
3378	deviat	1
3379	devic	15
3380	devilish	1
3381	devis	1
3382	devot	15
3383	devour	2
3384	devoutli	1
3385	dewat	2
3386	dewin	2
3387	dhabi	4
3388	dhahran	12
3389	dharan	1
3390	dhingra	1
3391	dhrumal	1
3392	di	165
3393	diabak	1
3394	diagnos	5
3395	diagnosi	1
3396	diagnost	1
3397	diagnostico	1
3398	diagram	1
3399	dialect	1
3400	diallo	2
3401	dialo	3
3402	dialogu	8
3403	diamet	3
3404	diamond	3
3405	dian	2
3406	diann	3
3407	diari	1
3408	diarrhea	3
3409	diaz	2
3410	dick	36
3411	dickinson	1
3412	dictablanda	1
3413	dictadura	1
3414	dictat	29
3415	dictatori	3
3416	dictatorship	10
3417	diction	4
3418	dictionari	1
3419	dictment	1
3420	did	309
3421	didn	128
3422	die	35
3423	diego	5
3424	dienstbier	2
3425	diesel	2
3426	diet	3
3427	differ	107
3428	difficult	84
3429	difficulti	21
3430	diffus	1
3431	dig	49
3432	digest	1
3433	digger	3
3434	digit	4
3435	dignitari	5
3436	digniti	8
3437	dilapid	1
3438	dilemma	4
3439	dilfer	1
3440	dilig	1
3441	dilut	1
3442	dime	1
3443	dimens	2
3444	diminish	5
3445	diminut	1
3446	dimitr	1
3447	dimitri	2
3448	dimmer	1
3449	dina	1
3450	dinar	2
3451	dine	8
3452	dinghi	4
3453	dingi	1
3454	dinh	2
3455	dinkic	3
3456	dinner	10
3457	dioulo	1
3458	dip	2
3459	diplomaci	8
3460	diplomat	69
3461	diplospeak	4
3462	dire	1
3463	direct	75
3464	directli	40
3465	director	102
3466	directrelief	1
3467	diring	1
3468	dirksen	1
3469	dirt	35
3470	dirti	11
3471	dirtiest	1
3472	disabl	4
3473	disadvantag	1
3474	disaffect	1
3475	disagr	3
3476	disagre	8
3477	disappear	24
3478	disappoint	25
3479	disapprov	1
3480	disarm	1
3481	disarma	1
3482	disarrai	2
3483	disassembl	1
3484	disast	76
3485	disastr	8
3486	disband	6
3487	disbar	4
3488	disbelief	5
3489	disc	1
3490	discard	2
3491	discharg	3
3492	disciplin	13
3493	disciplinari	6
3494	disclos	12
3495	disclosur	7
3496	discomfort	4
3497	discont	2
3498	discontinu	1
3499	discord	2
3500	discothequ	1
3501	discount	1
3502	discourag	7
3503	discov	37
3504	discoveri	12
3505	discovi	1
3506	discredit	10
3507	discreet	1
3508	discrep	4
3509	discret	4
3510	discrimin	2
3511	discuss	75
3512	disdain	4
3513	diseas	9
3514	disenfranchis	3
3515	disgaz	1
3516	disgrac	12
3517	disgruntl	5
3518	disguis	9
3519	disgust	1
3520	dish	1
3521	dishdasha	1
3522	dishearten	2
3523	dishonor	2
3524	disillus	2
3525	disinfect	5
3526	disinform	1
3527	disintegr	10
3528	dislik	1
3529	disloc	2
3530	dislodg	2
3531	dismai	3
3532	dismal	1
3533	dismantl	8
3534	dismemb	1
3535	dismiss	32
3536	disobedi	14
3537	disord	3
3538	disori	2
3539	dispar	4
3540	disparag	2
3541	dispatch	31
3542	dispel	2
3543	dispens	1
3544	dispers	13
3545	displac	2
3546	displai	29
3547	displeas	1
3548	displeasur	1
3549	dispos	12
3550	disposit	1
3551	disprov	2
3552	disput	33
3553	disqualifi	6
3554	disquiet	1
3555	disregard	5
3556	disreput	1
3557	disrespect	2
3558	disrupt	9
3559	dissect	1
3560	dissemin	4
3561	dissent	5
3562	dissid	6
3563	dissip	1
3564	dissolv	12
3565	dissuas	1
3566	distanc	16
3567	distant	7
3568	distinct	7
3569	distinctli	1
3570	distinguish	7
3571	distort	6
3572	distract	8
3573	distraught	13
3574	distress	4
3575	distribut	26
3576	district	38
3577	distrust	1
3578	disturb	9
3579	disun	2
3580	ditch	5
3581	dive	21
3582	diver	67
3583	divers	8
3584	diversifi	1
3585	divert	8
3586	divid	33
3587	divis	26
3588	divorc	3
3589	divulg	4
3590	dixon	3
3591	dixvil	1
3592	dizzi	2
3593	djahouri	1
3594	djibouti	20
3595	djikal	1
3596	djila	1
3597	djindjic	17
3598	djukanov	3
3599	djuro	1
3600	dmitri	12
3601	dmon	1
3602	dna	5
3603	dnevnik	1
3604	do	93
3605	doan	1
3606	dobrica	1
3607	dochterman	1
3608	dock	42
3609	docksid	2
3610	doctor	52
3611	doctorswithoutbord	1
3612	doctrin	1
3613	document	44
3614	documentari	1
3615	dodg	1
3616	dodgi	3
3617	doe	93
3618	doer	1
3619	doesn	43
3620	dog	32
3621	dogged	1
3622	doggedli	1
3623	doha	1
3624	dokic	9
3625	doll	1
3626	dollar	47
3627	dolphin	1
3628	domain	1
3629	dome	2
3630	domest	16
3631	domin	42
3632	dominican	1
3633	dominik	16
3634	dominikov	4
3635	dominion	2
3636	dominiqu	1
3637	domino	3
3638	don	2
3639	donald	35
3640	donaldson	2
3641	donat	19
3642	dong	1
3643	donkei	1
3644	donna	2
3645	donnel	3
3646	donor	11
3647	dooda	1
3648	doom	9
3649	door	55
3650	doorwai	2
3651	dopher	1
3652	dora	1
3653	dorcol	1
3654	doreen	1
3655	dori	1
3656	dormitori	1
3657	dorothi	2
3658	dose	1
3659	dostoyevski	1
3660	dot	3
3661	doubl	46
3662	doubt	52
3663	doudou	1
3664	doug	1
3665	dougal	9
3666	dougherti	2
3667	dougla	1
3668	dour	2
3669	dove	1
3670	dover	24
3671	down	4
3672	downbeat	1
3673	downfal	19
3674	downplai	3
3675	downpour	1
3676	downstair	2
3677	downtown	29
3678	dows	1
3679	doyal	1
3680	doze	1
3681	dozen	114
3682	dozo	1
3683	dpko	1
3684	dpmo	2
3685	draconian	2
3686	draft	16
3687	drag	15
3688	dragan	6
3689	dragana	1
3690	dragesa	1
3691	dragisha	1
3692	dragoljub	8
3693	dragomir	2
3694	dragon	2
3695	drain	8
3696	drama	13
3697	draman	15
3698	dramat	33
3699	drape	18
3700	draper	2
3701	draskov	4
3702	drastic	1
3703	draw	48
3704	drawn	17
3705	dread	1
3706	dream	20
3707	dress	24
3708	dresser	1
3709	drew	23
3710	drexel	1
3711	dri	7
3712	drift	3
3713	drill	8
3714	drink	13
3715	drip	1
3716	drissa	3
3717	drive	65
3718	driven	17
3719	driver	24
3720	drivewai	1
3721	drizzl	1
3722	drizzli	1
3723	drop	52
3724	drought	2
3725	drove	22
3726	drown	6
3727	drub	1
3728	drudg	1
3729	drug	41
3730	drugli	1
3731	drum	1
3732	drumbeat	2
3733	drummer	2
3734	drunk	3
3735	drunken	1
3736	dry	10
3737	drydock	1
3738	dtic	2
3739	dual	1
3740	duan	1
3741	dub	3
3742	dubai	5
3743	dubiou	1
3744	duboc	1
3745	duc	7
3746	duck	4
3747	duct	6
3748	dudlei	12
3749	duel	3
3750	duffel	2
3751	duffi	4
3752	duffl	1
3753	dug	22
3754	duglon	1
3755	duguid	2
3756	duke	1
3757	dull	1
3758	duluth	1
3759	duma	1
3760	dump	12
3761	duo	1
3762	duopoli	1
3763	dupe	1
3764	duplic	1
3765	durango	2
3766	duress	1
3767	dusan	1
3768	dusk	2
3769	dust	13
3770	dusti	11
3771	dutch	3
3772	duti	27
3773	duval	1
3774	dwarf	1
3775	dwell	2
3776	dweller	3
3777	dwight	2
3778	dwindl	11
3779	dwyer	1
3780	dy	14
3781	dye	2
3782	dygalo	2
3783	dynam	4
3784	dynamit	8
3785	dynasti	1
3786	dysfunct	1
3787	eager	18
3788	eagl	1
3789	eagleton	1
3790	eaker	1
3791	eant	1
3792	ear	7
3793	eardrum	2
3794	earli	181
3795	earlier	188
3796	earliest	7
3797	earmark	8
3798	earn	23
3799	earnest	5
3800	earshot	1
3801	earth	29
3802	earthmov	3
3803	earthquak	111
3804	eas	11
3805	easi	34
3806	easier	12
3807	easiest	2
3808	easili	25
3809	easlei	1
3810	east	1
3811	eastern	40
3812	eat	15
3813	eaten	3
3814	eavesdrop	1
3815	eb	3
3816	ebb	5
3817	ebri	1
3818	eccel	1
3819	echeverria	1
3820	echo	28
3821	eclips	2
3822	ecolog	1
3823	ecologist	1
3824	econolin	1
3825	econom	83
3826	economi	73
3827	economist	12
3828	ecstat	1
3829	ecuador	10
3830	ecuadorian	1
3831	ed	1
3832	edberg	1
3833	edg	49
3834	edgar	1
3835	edict	1
3836	edific	1
3837	edikipa	1
3838	edinburgh	1
3839	edit	16
3840	editor	16
3841	editori	16
3842	edmond	32
3843	edmund	25
3844	edmundo	1
3845	edt	13
3846	eduard	1
3847	eduardo	1
3848	educ	40
3849	edward	6
3850	edwardo	1
3851	edwin	2
3852	eeri	2
3853	eerili	1
3854	effect	76
3855	effici	4
3856	effort	185
3857	effortlessli	1
3858	egg	5
3859	egoavil	3
3860	egotist	2
3861	egregi	1
3862	egypt	26
3863	egyptian	31
3864	ehud	8
3865	ei	6
3866	eighteen	1
3867	eighth	22
3868	eighti	5
3869	eisenhow	3
3870	eject	2
3871	ekra	1
3872	elabor	24
3873	elana	1
3874	elast	1
3875	elat	1
3876	elayn	1
3877	elbaum	1
3878	elbow	7
3879	elder	6
3880	elderli	5
3881	eldest	3
3882	elect	312
3883	elector	80
3884	electr	42
3885	electrician	3
3886	electrifi	1
3887	electrocut	1
3888	electron	11
3889	eleg	5
3890	element	21
3891	elementari	2
3892	elena	6
3893	elev	4
3894	elia	4
3895	eliac	1
3896	elier	1
3897	elig	10
3898	elimin	32
3899	elit	7
3900	elizabeth	7
3901	ellen	5
3902	elli	2
3903	elliot	2
3904	ellips	2
3905	ellipt	1
3906	ellwood	1
3907	eln	1
3908	elong	1
3909	elton	1
3910	elud	12
3911	elus	4
3912	eman	1
3913	emanuel	1
3914	embargo	31
3915	embark	4
3916	embarrass	10
3917	embassi	118
3918	embattl	9
3919	embed	1
3920	embellish	1
3921	emblemat	1
3922	embrac	20
3923	embroil	1
3924	emerg	111
3925	emerson	2
3926	emigr	7
3927	emil	5
3928	emili	2
3929	emilio	2
3930	emin	2
3931	emir	7
3932	emiss	1
3933	emissari	1
3934	emit	1
3935	emkne	1
3936	emmanuel	3
3937	emot	42
3938	emotion	6
3939	empathet	1
3940	empathi	1
3941	emperor	4
3942	emphas	9
3943	emphasi	7
3944	emphat	5
3945	empir	6
3946	emploi	15
3947	employ	4
3948	employe	50
3949	empow	2
3950	empt	1
3951	emul	3
3952	enabl	10
3953	enact	4
3954	encircl	1
3955	enclos	1
3956	encor	1
3957	encount	15
3958	encourag	33
3959	end	277
3960	endang	5
3961	endear	1
3962	endeavor	3
3963	endem	1
3964	endors	12
3965	endur	18
3966	enemi	46
3967	energ	3
3968	energet	1
3969	energi	29
3970	enforc	46
3971	engag	25
3972	engend	2
3973	engin	54
3974	engineerman	1
3975	engineman	1
3976	england	2
3977	english	18
3978	engrav	1
3979	engulf	7
3980	enhanc	5
3981	enigmat	1
3982	enjoi	19
3983	enjoin	1
3984	enlarg	4
3985	enlist	14
3986	enmesh	1
3987	enmiti	2
3988	enorm	27
3989	enqvist	1
3990	enrag	2
3991	enrich	1
3992	ensembl	2
3993	ensign	4
3994	ensnar	2
3995	ensu	9
3996	ensul	1
3997	ensur	34
3998	entail	1
3999	entangl	2
4000	enter	67
4001	enterpris	4
4002	entertain	5
4003	enthusiasm	8
4004	enthusiast	7
4005	entic	4
4006	entir	44
4007	entireti	1
4008	entiti	2
4009	entitl	6
4010	entomb	4
4011	entourag	3
4012	entranc	7
4013	entrench	2
4014	entrepreneur	2
4015	entrepreneuri	2
4016	entrepreneurship	5
4017	entri	3
4018	entrust	2
4019	envelop	1
4020	envi	1
4021	environ	8
4022	environment	11
4023	environmentalist	3
4024	envis	2
4025	envisag	1
4026	envoi	7
4027	epa	1
4028	epic	2
4029	epicent	31
4030	epidem	2
4031	epiphani	1
4032	episcop	3
4033	episod	2
4034	equal	20
4035	equanim	1
4036	equip	89
4037	equival	12
4038	er	1
4039	eras	11
4040	erect	7
4041	erena	1
4042	eri	3
4043	eric	6
4044	erinson	1
4045	erlang	1
4046	ernesto	4
4047	erni	4
4048	erod	9
4049	eros	4
4050	err	1
4051	errand	1
4052	errat	8
4053	erron	3
4054	error	47
4055	erupt	18
4056	esam	1
4057	escal	9
4058	escap	85
4059	escape	28
4060	escort	10
4061	escud	3
4062	especi	74
4063	espehello	1
4064	espi	6
4065	espionag	34
4066	espitia	1
4067	espo	1
4068	espous	1
4069	essai	3
4070	essenc	3
4071	essenti	16
4072	establish	51
4073	estat	18
4074	estim	63
4075	estrada	1
4076	estrang	1
4077	etar	1
4078	etat	7
4079	etcetera	1
4080	ethan	2
4081	ethic	7
4082	ethiopia	1
4083	ethnic	34
4084	ethnocentr	2
4085	etoge	1
4086	eucom	1
4087	eugen	4
4088	eulog	1
4089	eulogi	3
4090	euphor	1
4091	euphoria	6
4092	europ	50
4093	european	52
4094	evacu	24
4095	evad	7
4096	evalu	11
4097	evan	5
4098	evanel	1
4099	evapor	3
4100	evas	14
4101	evelyn	2
4102	even	64
4103	evenh	1
4104	evenhand	1
4105	evenli	5
4106	event	85
4107	eventu	45
4108	everett	1
4109	eversinc	1
4110	everybodi	20
4111	everydai	10
4112	evi	4
4113	evict	2
4114	evid	131
4115	evidenc	1
4116	evil	2
4117	evoc	1
4118	evok	1
4119	evolut	3
4120	ew	4
4121	exacerb	1
4122	exact	8
4123	exactli	37
4124	exagger	4
4125	exalt	1
4126	exam	4
4127	examin	49
4128	exampl	40
4129	exasper	2
4130	excav	12
4131	exce	4
4132	exceed	1
4133	exceedingli	1
4134	excel	5
4135	except	7
4136	excerpt	5
4137	excess	2
4138	exchang	23
4139	excit	9
4140	exclaim	1
4141	exclam	2
4142	exclud	20
4143	exclus	20
4144	exclusion	2
4145	exclusionari	1
4146	excruci	1
4147	excus	7
4148	execut	71
4149	exemplari	1
4150	exemplifi	1
4151	exempt	2
4152	exercis	22
4153	exhaust	26
4154	exhibit	3
4155	exhilar	1
4156	exhort	2
4157	exil	43
4158	exist	21
4159	exit	25
4160	exocet	1
4161	exodu	3
4162	exoner	1
4163	expand	18
4164	expans	5
4165	expatri	3
4166	expect	187
4167	expectantli	1
4168	expedi	2
4169	expedit	4
4170	expel	5
4171	expenditur	2
4172	expens	21
4173	experi	46
4174	experienc	8
4175	expert	118
4176	expertis	8
4177	expir	9
4178	explain	35
4179	explan	13
4180	explicit	4
4181	explicitli	6
4182	explod	43
4183	exploit	7
4184	explor	13
4185	explos	223
4186	export	22
4187	expos	8
4188	express	76
4189	expuls	1
4190	exquisit	1
4191	extend	38
4192	extens	34
4193	extent	27
4194	exterior	3
4195	extern	14
4196	extinct	2
4197	extinguish	2
4198	extol	2
4199	extort	4
4200	extra	21
4201	extract	6
4202	extradit	33
4203	extraordinari	12
4204	extraordinarili	2
4205	extravag	2
4206	extrem	21
4207	extremist	17
4208	extric	2
4209	exuber	1
4210	exud	1
4211	exult	1
4212	ey	62
4213	eyadema	1
4214	eyal	1
4215	eyebal	1
4216	eyelid	1
4217	eyesburn	1
4218	eyewit	10
4219	eyewitnesss	1
4220	fa	3
4221	faa	1
4222	fabiani	1
4223	fabric	5
4224	facad	4
4225	face	186
4226	facial	1
4227	facil	45
4228	facilit	4
4229	fact	110
4230	factbook	4
4231	faction	13
4232	facto	2
4233	factor	23
4234	factori	20
4235	factual	1
4236	fade	24
4237	fadeyev	1
4238	fadhli	1
4239	fagan	1
4240	fahrenheit	1
4241	fail	115
4242	failur	16
4243	faint	6
4244	faintli	1
4245	fair	46
4246	fairfax	1
4247	fairleigh	1
4248	fairli	16
4249	faisal	1
4250	faith	9
4251	faithless	1
4252	fake	10
4253	fall	68
4254	fallen	27
4255	fallout	1
4256	faln	1
4257	fals	30
4258	falsif	1
4259	falsifi	5
4260	falter	4
4261	fame	6
4262	famer	1
4263	famili	213
4264	familiar	17
4265	famou	4
4266	fan	10
4267	fanci	1
4268	fanfar	2
4269	far	181
4270	farawai	3
4271	farc	2
4272	fare	1
4273	farera	1
4274	farewel	16
4275	farid	1
4276	farina	3
4277	farinella	1
4278	farm	9
4279	farmer	8
4280	farmington	1
4281	farrier	1
4282	farther	2
4283	farthest	2
4284	fascin	5
4285	fascist	3
4286	fashion	8
4287	faso	8
4288	fast	24
4289	faster	11
4290	fastest	2
4291	fat	2
4292	fatal	8
4293	fatalist	1
4294	fate	33
4295	father	76
4296	fatherless	1
4297	fatigu	7
4298	fatwa	1
4299	fault	29
4300	faulti	1
4301	favor	49
4302	favorit	14
4303	faw	1
4304	fax	14
4305	fay	1
4306	fayettevil	1
4307	fbi	113
4308	fda	1
4309	fear	109
4310	fearfulli	1
4311	fearless	4
4312	feasibl	4
4313	feast	1
4314	feat	8
4315	featur	19
4316	feb	2
4317	februari	3
4318	fed	15
4319	feder	138
4320	federalist	1
4321	federico	11
4322	fee	5
4323	feed	14
4324	feel	118
4325	feet	62
4326	fehn	2
4327	feign	1
4328	feingold	1
4329	feinstein	3
4330	felix	9
4331	fell	66
4332	fellow	39
4333	felon	4
4334	feloni	13
4335	felt	81
4336	femal	13
4337	feminist	1
4338	fenc	6
4339	fend	2
4340	ferdinand	1
4341	ferment	1
4342	fernand	5
4343	fernandez	1
4344	fernando	5
4345	feroci	1
4346	ferraro	1
4347	ferreira	3
4348	ferrer	1
4349	ferrero	12
4350	ferret	2
4351	ferri	4
4352	fertil	3
4353	fervor	5
4354	fest	1
4355	festiv	8
4356	fetch	1
4357	fever	6
4358	feverish	1
4359	fewer	17
4360	fewest	1
4361	fh	1
4362	fhimah	1
4363	fi	1
4364	fiance	1
4365	fiberglass	9
4366	fiction	2
4367	fictiti	3
4368	fidel	5
4369	fidelia	2
4370	fidget	2
4371	fiefdom	2
4372	field	49
4373	fierc	16
4374	fieri	3
4375	fierrera	1
4376	fife	2
4377	fifteenth	1
4378	fifth	37
4379	fifti	2
4380	fight	77
4381	fighter	15
4382	figur	93
4383	fijimori	1
4384	file	40
4385	filipov	1
4386	fill	41
4387	fillmor	1
4388	film	8
4389	filter	1
4390	filth	1
4391	final	199
4392	finalist	5
4393	financ	41
4394	financi	63
4395	find	71
4396	fine	43
4397	finest	5
4398	finger	13
4399	fingerprint	5
4400	fingertip	1
4401	finish	59
4402	finit	2
4403	fink	3
4404	finland	2
4405	finsburi	1
4406	fire	73
4407	firearm	12
4408	firebal	1
4409	firebomb	1
4410	firecrack	2
4411	firefight	6
4412	fireman	4
4413	firepow	2
4414	firerescu	1
4415	fireston	1
4416	firestorm	1
4417	firework	5
4418	firm	32
4419	firmer	1
4420	firmli	11
4421	first	1
4422	firstli	1
4423	fiscal	3
4424	fischer	2
4425	fish	10
4426	fisheri	1
4427	fisherman	2
4428	fishermen	5
4429	fissur	1
4430	fist	21
4431	fit	27
4432	fitcher	1
4433	fitter	1
4434	fittingli	1
4435	fitzgerald	7
4436	fix	16
4437	fizzl	1
4438	fl	1
4439	fla	17
4440	flabbergast	1
4441	flag	42
4442	flagrant	2
4443	flair	2
4444	flak	1
4445	flake	3
4446	flaku	3
4447	flame	9
4448	flank	6
4449	flare	3
4450	flash	3
4451	flashbulb	1
4452	flashlight	1
4453	flashpoint	3
4454	flat	13
4455	flatb	1
4456	flatli	1
4457	flatten	23
4458	flatter	1
4459	flatwar	1
4460	flaw	15
4461	flawless	2
4462	flawlessli	1
4463	flea	1
4464	fled	72
4465	fledg	1
4466	fledgl	2
4467	flee	36
4468	fleet	72
4469	fleischer	1
4470	flesh	2
4471	fletchal	1
4472	fletcher	4
4473	flew	33
4474	flex	1
4475	flexibl	2
4476	flfing	1
4477	fli	2
4478	flier	1
4479	flight	49
4480	flimsi	1
4481	fling	1
4482	flint	1
4483	flintoff	2
4484	flip	7
4485	float	15
4486	floater	1
4487	flood	38
4488	floodlight	1
4489	floodlit	2
4490	floor	38
4491	flop	4
4492	flore	15
4493	floresc	1
4494	florez	2
4495	florida	42
4496	florist	1
4497	floss	1
4498	flotilla	12
4499	flour	2
4500	flourish	3
4501	flow	10
4502	flower	8
4503	flown	44
4504	floyd	2
4505	fluctuat	1
4506	fluid	2
4507	flung	8
4508	fluorid	1
4509	flurri	4
4510	flush	1
4511	fluster	2
4512	fluti	1
4513	flux	1
4514	fly	48
4515	fm	1
4516	focu	44
4517	focus	45
4518	focuss	2
4519	foe	16
4520	fofana	2
4521	fog	11
4522	foggi	4
4523	foil	6
4524	fold	3
4525	folei	2
4526	folk	7
4527	folklor	1
4528	follow	216
4529	followup	1
4530	foment	3
4531	fond	2
4532	font	1
4533	food	61
4534	fool	2
4535	foolish	1
4536	foot	107
4537	footag	3
4538	footbal	10
4539	foothil	6
4540	foothold	6
4541	footnot	1
4542	footprint	1
4543	footstep	1
4544	footwear	1
4545	footwork	1
4546	forag	4
4547	forai	3
4548	forb	3
4549	forbid	1
4550	forbidden	2
4551	forc	366
4552	forcefulli	1
4553	forcep	1
4554	forcibl	2
4555	ford	11
4556	forebod	1
4557	forecast	8
4558	foreclos	1
4559	forefront	2
4560	forehand	3
4561	forehead	2
4562	foreign	191
4563	foremost	3
4564	forens	21
4565	forerunn	2
4566	forese	3
4567	foreseen	1
4568	forest	9
4569	foretast	1
4570	forev	9
4571	foreword	1
4572	forg	4
4573	forgav	1
4574	forgeri	1
4575	forget	12
4576	forgiv	7
4577	forgiven	1
4578	forgot	1
4579	forgotten	5
4580	fork	2
4581	form	33
4582	formal	42
4583	format	9
4584	formid	4
4585	formul	1
4586	formula	3
4587	fornl	1
4588	forsak	1
4589	fort	1
4590	forth	5
4591	fortifi	2
4592	fortitud	1
4593	fortnight	1
4594	fortress	1
4595	fortun	16
4596	forum	15
4597	forward	57
4598	foster	4
4599	fought	48
4600	foul	1
4601	found	15
4602	foundat	8
4603	founder	10
4604	fountain	1
4605	fourth	57
4606	fox	7
4607	foyer	2
4608	fpi	2
4609	fpt	1
4610	fr	1
4611	fraction	7
4612	fractiou	2
4613	fractur	9
4614	fragil	7
4615	fragment	9
4616	frai	4
4617	fraim	1
4618	frame	7
4619	framework	2
4620	franc	36
4621	franchis	1
4622	franci	6
4623	franciscan	2
4624	francisco	37
4625	francoi	1
4626	franjo	3
4627	frank	28
4628	frankfort	4
4629	frankfurt	9
4630	frankli	8
4631	frantic	20
4632	fraser	1
4633	frasur	1
4634	fraud	68
4635	fraudul	5
4636	fraught	3
4637	frazier	2
4638	fred	2
4639	freder	1
4640	fredericqu	1
4641	frederik	1
4642	free	119
4643	freed	22
4644	freedom	40
4645	freeh	25
4646	freeli	14
4647	freelli	1
4648	freepelti	2
4649	freer	2
4650	freewheel	1
4651	freez	2
4652	freight	2
4653	fremd	5
4654	fremont	2
4655	french	70
4656	frenchman	8
4657	frenchmen	1
4658	frenchwoman	2
4659	frenzi	3
4660	frequent	28
4661	fresh	18
4662	fresher	1
4663	freshman	5
4664	freshmen	1
4665	fresno	1
4666	friction	1
4667	fridai	216
4668	friend	80
4669	friendli	19
4670	friendship	6
4671	frigat	10
4672	frighten	21
4673	frigid	1
4674	frist	2
4675	frond	1
4676	front	2
4677	frontier	1
4678	frontlin	1
4679	frown	1
4680	froze	7
4681	frozen	4
4682	fruit	7
4683	fruition	1
4684	fruitless	1
4685	frustrat	40
4686	fry	1
4687	fsb	4
4688	fudg	1
4689	fuel	40
4690	fuerth	1
4691	fugazi	5
4692	fugimori	1
4693	fugit	73
4694	fujimori	62
4695	fulfil	5
4696	fullest	4
4697	fulli	37
4698	fume	1
4699	fun	2
4700	function	14
4701	functionari	2
4702	fund	72
4703	fundament	13
4704	fundamentalist	9
4705	fundrais	1
4706	funer	19
4707	funnel	3
4708	funni	2
4709	furi	5
4710	furiou	12
4711	furious	6
4712	furnish	2
4713	furnitur	6
4714	furor	2
4715	furrow	2
4716	furthermor	3
4717	furthest	1
4718	furtiv	2
4719	fuselag	1
4720	fuss	1
4721	futa	1
4722	futil	4
4723	futur	88
4724	futurist	1
4725	fuzzi	1
4726	ga	48
4727	gabbi	1
4728	gabe	1
4729	gabon	2
4730	gabriel	1
4731	gadget	1
4732	gadhafi	1
4733	gaell	1
4734	gaff	1
4735	gafnei	1
4736	gag	1
4737	gagliardi	2
4738	gagnoa	4
4739	gai	13
4740	gaig	1
4741	gain	39
4742	gajar	1
4743	gal	1
4744	galapago	2
4745	gale	6
4746	galiardi	1
4747	gallup	3
4748	gallust	3
4749	galo	8
4750	galvan	2
4751	galvin	1
4752	gama	1
4753	gamaa	2
4754	gamarra	1
4755	gambler	2
4756	game	57
4757	gan	3
4758	gandhi	7
4759	gandhinagar	1
4760	gang	17
4761	gangster	2
4762	gantlet	1
4763	gap	12
4764	gape	16
4765	garag	6
4766	garbag	17
4767	garbl	4
4768	garcia	23
4769	garden	13
4770	gari	8
4771	garin	1
4772	garland	1
4773	garment	1
4774	garner	5
4775	garri	2
4776	garro	1
4777	garwood	3
4778	gase	1
4779	gash	4
4780	gasolin	2
4781	gasp	1
4782	gaston	1
4783	gate	17
4784	gatehous	2
4785	gatewai	2
4786	gather	90
4787	gatl	1
4788	gatorad	1
4789	gaudi	1
4790	gaug	4
4791	gauna	2
4792	gaur	1
4793	gautam	1
4794	gave	105
4795	gavel	1
4796	gavlak	1
4797	gawker	1
4798	gaza	16
4799	gaze	4
4800	gazett	1
4801	gazillion	1
4802	gbagbo	38
4803	gbessi	1
4804	gbgm	1
4805	gear	10
4806	gedda	1
4807	gedrif	1
4808	gee	1
4809	geeman	1
4810	gehman	10
4811	gejdenson	4
4812	gelu	1
4813	gen	77
4814	gendarm	2
4815	gene	2
4816	gener	230
4817	generos	2
4818	genex	1
4819	genocid	4
4820	genom	1
4821	genrikh	1
4822	gentl	1
4823	gentleman	1
4824	gentlemen	1
4825	gentli	6
4826	genuin	5
4827	geo	5
4828	geoff	1
4829	geofferi	1
4830	geoffrei	3
4831	geographi	1
4832	geolog	11
4833	geologist	2
4834	geopolit	1
4835	georg	117
4836	georgetown	1
4837	georgi	1
4838	georgia	9
4839	georgian	2
4840	gephardt	2
4841	gerald	1
4842	gerd	1
4843	gerhard	5
4844	gerin	1
4845	german	23
4846	germani	63
4847	germicid	1
4848	gerri	1
4849	gerstein	1
4850	gestapo	1
4851	gestur	21
4852	get	84
4853	getawai	7
4854	getter	1
4855	ghashmi	1
4856	ghee	1
4857	ghost	4
4858	gi	1
4859	giant	11
4860	gift	18
4861	gigant	1
4862	giggl	2
4863	gil	1
4864	gila	1
4865	gilbert	1
4866	gillespi	2
4867	gilman	1
4868	gilmor	2
4869	gimbel	1
4870	gina	1
4871	ginger	2
4872	gingerli	3
4873	girder	1
4874	girl	29
4875	girlfriend	3
4876	giuliani	12
4877	give	69
4878	given	115
4879	gizbert	3
4880	glad	11
4881	gladi	1
4882	gladkovich	1
4883	gladli	1
4884	glanc	5
4885	glascoff	1
4886	glaspi	3
4887	glass	20
4888	gleefulli	2
4889	glen	4
4890	glenni	2
4891	glimps	6
4892	glisten	1
4893	global	19
4894	globe	6
4895	glori	3
4896	gloria	1
4897	glorifi	1
4898	gloriou	2
4899	glove	4
4900	glow	3
4901	glue	4
4902	glum	1
4903	gmc	1
4904	gnassingb	1
4905	gnd	1
4906	go	233
4907	goal	19
4908	goate	1
4909	gobbl	1
4910	god	37
4911	goddess	1
4912	goe	33
4913	goggl	1
4914	goh	1
4915	goin	4
4916	gokool	1
4917	gold	15
4918	golden	4
4919	goldman	3
4920	goldsmith	3
4921	goldstein	4
4922	golf	4
4923	golfer	1
4924	goliath	1
4925	gone	74
4926	gonna	5
4927	good	206
4928	goodby	5
4929	goodwil	4
4930	gop	22
4931	goran	6
4932	gorbachov	1
4933	gordana	1
4934	gordi	3
